<<<<<<< HEAD
Site,BI_low,BI_high
C7,15752.95555,27302.44908
S10,13047.52955,32122.95208
S12,7048.175701,11231.33326
M2,6619.226441,16914.27919
C2,36308.03561,31804.62266
S2,8568.998427,59641.04842
S4,6999.121731,68495.70199
M1,23354.025,45332.50672
CB,6710.078588,10561.75271
SB,9732.571958,52321.04761
SC,5591.103516,47916.32302
MA,10176.65997,38497.1011
C8,3806.243502,21961.67283
S6,5596.274363,59968.16782
S9,8440.207608,57093.17235
M7,7513.761215,35257.52808
C4,35825.07888,41153.72133
C5,30316.54304,41952.91433
C14,10391.18156,28181.17895
C15,18933.93195,65996.05367
C3,27117.56799,61681.5964
C6,7153.574984,77005.94366
S1,16676.49874,50539.23836
S17,12710.16088,33671.49071
=======
Site,BI_low,BI_high
C7,15752.95555,27302.44908
S10,13047.52955,32122.95208
S12,7048.175701,11231.33326
M2,6619.226441,16914.27919
C2,36308.03561,31804.62266
S2,8568.998427,59641.04842
S4,6999.121731,68495.70199
M1,23354.025,45332.50672
CB,6710.078588,10561.75271
SB,9732.571958,52321.04761
SC,5591.103516,47916.32302
MA,10176.65997,38497.1011
C8,3806.243502,21961.67283
S6,5596.274363,59968.16782
S9,8440.207608,57093.17235
M7,7513.761215,35257.52808
C4,35825.07888,41153.72133
C5,30316.54304,41952.91433
C14,10391.18156,28181.17895
C15,18933.93195,65996.05367
C3,27117.56799,61681.5964
C6,7153.574984,77005.94366
S1,16676.49874,50539.23836
S17,12710.16088,33671.49071
>>>>>>> d69924ce5234437194dd03e3a9ca0fe3c6728deb
